,USDC-USDT,DAI,USDC,DAI-USDC,DAI-USDT,USDT,ETH
2021-08-28,285.0981525137418,10.048672556024442,0.31327770256284876,142.69333268480162,47.42692365149362,9.98801363315187,201.0503889547027
2021-08-29,284.9993547399609,10.050701885852588,0.3126165406439962,142.55873957628523,47.462602852245695,10.000592556279281,201.60993408535103
2021-08-30,285.11627119673426,10.034538059128694,0.31295889758292106,142.52426849498607,47.41452537123351,9.995684572811061,204.08748988392463
2021-08-31,285.1556474366995,10.060394964966132,0.3129881474619774,142.72170676695805,47.474674245103735,69964.2793338054,211.31608061149623
2021-09-01,41298.167230468884,14.07814137960904,0.0,20735.651139989604,6888.520423793184,59.80817559587512,1429.4471700766308
2021-09-02,41338.78876492414,14.078484188208032,0.0,20749.083460300382,6891.229325003708,59.84455782450526,1445.6732888052122
2021-09-03,41322.32927128165,14.064651144981802,0.0,20745.66837841397,6882.6384224691865,59.752693995733736,1474.4176890644683
2021-09-04,41343.77673659309,14.077831641898108,0.0,20754.549776440137,6888.654097734088,59.79448362668307,1476.2552024118293
2021-09-05,41406.39154338585,14.094974434923317,0.0,20777.545185622792,6900.073020957045,59.91390401643563,1496.1891242150884
2021-09-06,41337.90674384383,14.066671512815327,0.0,20754.10662569047,6882.690120213219,399422.7133319256,1498.641476585758
2021-09-07,276310.24511247047,116.50557049017988,166.1191165005131,138019.22798725567,46085.55891675563,27.772411462368368,5799.524069807622
2021-09-08,276471.3507496667,116.35569636074528,166.26109720834847,137995.6407167723,46061.8556811404,27.77614477802768,5980.314208022589
2021-09-09,276480.90114300343,116.45015758661204,166.37458238161517,138101.8999271362,46064.20831945839,27.753663560571727,5813.784676377719
2021-09-10,276360.9733985042,116.52613944227144,166.229108204245,138090.59393197083,46075.83228763154,27.747617682631056,5336.699578506487
2021-09-11,276656.4480864047,116.4204847634705,166.25535261859173,138040.8328890634,46099.63078769397,27.79839736160288,5493.107696211462
2021-09-12,276739.1094618851,116.49387682412241,166.35181084768251,138131.39588334007,46112.8826152502,27.79401636701194,5694.507521076273
2021-09-13,276556.5381577084,116.46150649984092,166.3344156649188,138108.13202820526,46076.660324812954,27.75543470763936,5551.045721071885
2021-09-14,276603.8145385794,116.47836478252383,166.2199025586527,138073.07381642712,46103.607668713244,27.77799288516385,5769.763782034019
