,WETH-USDT,WBTC,DAI,USDC,DAI-WETH,USDC-WETH,WBTC-WETH,EQX,USDT,ETH
2021-09-12,27439.822895864803,0.0,53.33618184807454,0.0,74795.13345686608,73055.65569082228,8617.03616667797,2887.54944854324,3.575377093157885,3628.9976533158133
2021-09-13,27096.195357208082,0.0,53.32136124505722,0.0,73871.1565647272,72176.58935348573,8456.547395637694,2599.2805499263304,3.570414011201135,3537.5722695351296
2021-09-14,27652.77000195257,0.0,53.329079731687884,0.0,75333.65784061879,73593.45906920674,8826.101422910746,2697.738051559853,3.573315858495151,3676.9569884123384
2021-09-15,28307.6028066576,0.0,53.25559341295695,0.0,77090.62824393218,75362.64488828206,9114.865362971635,2562.975563710034,3.5693334628341122,3854.1584502211176
2021-09-16,28189.785823041315,0.0,53.31790229479557,0.0,76752.5412709374,75027.58767892353,9006.880771037168,2269.1166961965664,3.57250121684921,3814.1067990629344
2021-09-17,27541.421448718887,0.0,53.307955236714626,0.0,74947.88750828078,73300.40804202565,8752.049579596296,2236.45222545544,3.5735529286538616,3635.961899384396
2021-09-18,27651.207127337493,0.0,53.29144063534767,0.0,75249.27223571323,73607.51793141275,8881.540067225318,2303.473881585787,3.570242179966928,3665.2344127341785
2021-09-19,27220.908787403183,0.0,53.28714451054009,0.0,74033.29755086017,72459.76409974475,8641.922797898025,2119.0117598864817,3.5725345477170283,3546.987944483541
2021-09-20,25918.22865959116,0.0,53.237732025251994,0.0,70437.58033137718,68993.48199740477,7877.590260090048,1750.2023163700185,3.5718617585449786,3208.660977327162
2021-09-21,24818.2082805451,0.0,53.3075846316571,0.0,67465.09370257104,66063.31843273895,7300.645298207569,1756.21469284676,3.5720694652596476,2935.2789507348953
2021-09-22,26587.05809009461,0.3283835753322362,1.8682296987276026,1.9090028626221334,72268.59727360377,70737.22889305328,8115.671253865213,0.0,0.9072070930435123,3383.3680120721997
2021-09-23,26951.849217352825,0.3369849889025989,1.8656493730790142,1.90860008557568,73181.38459223324,71679.71453548245,8328.683910968899,0.0,0.9076949143883528,3471.997016890558
2021-09-24,26179.832123524895,0.32364202226314776,1.8665674930461893,1.9073192830264367,71072.48322851384,69584.31914251519,7921.071156058754,0.0,0.9080439932357244,3269.2763024449464
2021-09-25,26077.92298377333,0.322724886792498,1.8685328520208766,1.9077806607131877,70821.86152938979,69316.07845826766,7875.519828333422,0.0,0.9081342926588426,3240.4073377549166
